slug,product_id,rating,review_date,updated_date,status,sweetness,body_level,acidity_level,descriptor_ids,method_facet,abv_bucket,wine_color
guinness-0-0,TDS-0097,91,2026-09-18,2026-09-20,published,2,1,,"roasted_barley,cocoa_nib,coffee",membrane-filtration,zero,
lagunitas-hazy-ipna,TDS-0015,82,2026-09-18,2026-09-20,published,2,1,,passionfruit,unpublished,half,
valckenberg-not-a-sin,TDS-0075,77,2026-09-18,2026-09-20,published,2,2,3,"orange,lemon,ginger,lime,grapefruit,blossom,mineral,lime_zest",unpublished,half,sparkling
lyres-italian-orange,TDS-0099,82,2026-09-18,2026-09-20,published,2,,,"blood_orange,grapefruit,cherry",not-applicable,half,
spiritless-jalisco-55,TDS-0094,82,2026-09-18,2026-09-20,published,,1,,"oak,vanilla",other,zero,
christian-drouin-poire,TDS-0051,84,2026-09-18,2026-09-20,published,2,1,3,"pear,blossom",not-applicable,zero,
spiritless-kentucky-74,TDS-0092,78,2026-09-18,2026-09-20,published,,1,,"caramel,vanilla",other,half,
best-day-kolsch,TDS-0035,84,2026-09-18,2026-09-20,published,,1,3,"malt,green_apple",unpublished,half,
french-bloom-le-blanc,TDS-0039,84,2026-09-18,2026-09-20,published,,,3,"pear,citrus",vacuum-distillation,zero,sparkling
90-cellars-lot-230,TDS-0033,80,2026-09-18,2026-09-20,published,,,3,"bready,green_apple",reverse-osmosis,half,sparkling
tired-hands-n-alien-church,TDS-0063,88,2026-09-18,2026-09-20,published,,,,"passionfruit,hops",unpublished,half,
hitachino-nest-non-ale,TDS-0105,81,2026-09-19,2026-09-20,published,3,2,,"malt,toasted_grain,hops",unpublished,half,
deschutes-fresh-squeezed-na,TDS-0093,84,2026-09-18,2026-09-20,published,,2,,"citrus,grapefruit",reverse-osmosis,half,
penns-best-lager,TDS-0085,72,2026-09-18,2026-09-20,published,,1,,"malt,toasted_grain",unpublished,half,
savyll-moscow-mule,TDS-0013,73,2026-09-18,2026-09-20,published,2,,,"ginger,lime_zest",not-applicable,half,
